Spot,rate,borrow,vol,maturity,American Price,European Price,AM/EU,Delta_am,Delta_eu,Vega_am,Vega_eu
72.0,0.0025,-0.004,0.1,20.0,1.43919016097e-21,1.43919016097e-21,1.0,3.00133861577032e-20,3.00133861577032e-20,3.29927195834465e-19,3.29927195834465e-19
72.0,0.0025,-0.004,0.1,30.0,1.29709254399433e-16,1.29709254399433e-16,1.0,8.5387730875437e-16,8.5387730875437e-16,9.37362347889396e-15,9.37362347889396e-15
72.0,0.0025,-0.004,0.1,40.0,1.10308893322264e-13,1.10308893322264e-13,1.0,3.42939974417619e-13,3.42939974417619e-13,4.07460294040004e-12,4.07460294040004e-12
72.0,0.0025,-0.004,0.1,50.0,8.38578447730741e-12,8.38578447730741e-12,1.0,2.34224941650261e-11,2.34224941650261e-11,2.10275348174868e-10,2.10275348174868e-10
72.0,0.0025,-0.004,0.1,60.0,2.08065065344721e-10,2.08065065344721e-10,1.0,5.51999222684624e-10,5.51999222684624e-10,3.78613390321756e-09,3.78613390321756e-09
74.0,0.0025,-0.004,0.1,10.0,1.35174829805171e-28,1.35174829805171e-28,1.0,4.31030177412087e-27,4.31030177412087e-27,7.74474473742107e-26,7.74474473742107e-26
74.0,0.0025,-0.004,0.1,20.0,2.1019069706206e-19,2.1019069706206e-19,1.0,3.26840246097909e-18,3.26840246097909e-18,2.92639294673849e-17,2.92639294673849e-17
74.0,0.0025,-0.004,0.1,30.0,8.35159623476302e-15,8.35159623476302e-15,1.0,2.9373336754267e-14,2.9373336754267e-14,3.85457513877122e-13,3.85457513877122e-13
74.0,0.0025,-0.004,0.1,40.0,3.10653140467061e-12,3.10653140467061e-12,1.0,9.0254372888858e-12,9.0254372888858e-12,8.41760528636476e-11,8.41760528636476e-11
74.0,0.0025,-0.004,0.1,50.0,1.62590695384472e-10,1.62590695384472e-10,1.0,4.70898573342466e-10,4.70898573342466e-10,3.03125685608496e-09,3.03125685608496e-09
74.0,0.0025,-0.004,0.1,60.0,3.38189153165658e-09,3.38189153165658e-09,1.0,6.23708123541982e-09,6.23708123541982e-09,4.36601606615509e-08,4.36601606615509e-08
76.0,0.0025,-0.004,0.1,10.0,1.93376225136129e-26,1.93376225136129e-26,1.0,2.09717377658284e-24,2.09717377658284e-24,1.98472631087406e-23,1.98472631087406e-23
76.0,0.0025,-0.004,0.1,20.0,2.40486487121284e-17,2.40486487121284e-17,1.0,2.85288864989699e-16,2.85288864989699e-16,2.22640208866309e-15,2.22640208866309e-15
76.0,0.0025,-0.004,0.1,30.0,3.99363416289326e-13,3.99363416289326e-13,1.0,1.4682308028595e-12,1.4682308028595e-12,1.30465750977521e-11,1.30465750977521e-11
76.0,0.0025,-0.004,0.1,40.0,7.61036967356166e-11,7.61036967356166e-11,1.0,2.49449439949693e-10,2.49449439949693e-10,1.53537180941679e-09,1.53537180941679e-09
76.0,0.0025,-0.004,0.1,50.0,3.19830765756261e-09,3.19830765756261e-09,1.0,6.2321167443541e-09,6.2321167443541e-09,4.12653133076935e-08,4.12653133076935e-08
76.0,0.0025,-0.004,0.1,60.0,4.23880995951192e-08,4.23880995951192e-08,1.0,7.32778970468122e-08,7.32778970468122e-08,4.06854910579157e-07,4.06854910579157e-07
78.0,0.0025,-0.004,0.1,10.0,6.95208641353795e-23,6.95208641353795e-23,1.0,4.9446852000371e-22,4.9446852000371e-22,1.26765560604093e-20,1.26765560604093e-20
78.0,0.0025,-0.004,0.1,20.0,3.9676848372575e-15,3.9676848372575e-15,1.0,1.90793426795646e-14,1.90793426795646e-14,1.96543724232239e-13,1.96543724232239e-13
78.0,0.0025,-0.004,0.1,30.0,1.56836282008093e-11,1.56836282008093e-11,1.0,4.69720329938875e-11,4.69720329938875e-11,3.55651140884859e-10,3.55651140884859e-10
78.0,0.0025,-0.004,0.1,40.0,1.93175175199507e-09,1.93175175199507e-09,1.0,4.51705439747031e-09,4.51705439747031e-09,2.63774806312546e-08,2.63774806312546e-08
78.0,0.0025,-0.004,0.1,50.0,4.78545972924514e-08,4.78545972924514e-08,1.0,8.40328364342963e-08,8.40328364342963e-08,4.47491728013478e-07,4.47491728013478e-07
78.0,0.0025,-0.004,0.1,60.0,4.73446257798534e-07,4.73446257798534e-07,1.0,7.90003301634615e-07,7.90003301634615e-07,3.33041685610648e-06,3.33041685610648e-06
80.0,0.0025,-0.004,0.1,10.0,1.27472475071067e-20,1.27472475071067e-20,1.0,3.03662268460286e-19,3.03662268460286e-19,2.24573653233955e-18,2.24573653233955e-18
